pid,potential_poi
443,"[1008, 712, 1042, 23, 4073, 3021, 249, 2111, 1075, 442, 1015, 2995, 1078, 2369, 335, 1299, 309, 414, 993, 2964, 744, 1219, 443, 451, 1638, 2703, 2048, 337, 806, 3565, 519, 102, 573, 3343, 3690, 3065, 120, 2862, 2353, 2512, 2493, 1682, 991, 3491, 1705, 177, 312, 1389, 1731, 406, 1394, 3260, 1417, 3447, 2138, 1610, 1094, 1576, 3469, 324, 1166, 76, 4282, 2671, 2834, 2105, 1707, 2912, 1982, 1130, 1445, 1922, 1044, 1209, 3980, 2321, 4009, 4654, 2001, 4477, 4605, 62, 2039, 1006, 2659, 1761, 3492, 1293, 1918, 1703]"
5,"[765, 1475, 871, 5, 4101, 1083, 2603, 2227, 3720]"
765,"[871, 4478, 765, 5023]"
871,"[5, 3882, 3815, 871, 4101, 1847, 1647, 2603]"
1475,"[1930, 1498, 19, 48, 109, 1075, 2411, 3028, 2293, 701, 1222, 510, 1766, 324, 23, 292, 2762, 798, 2714, 957, 1525, 582, 647, 660, 743, 844, 1879, 1675, 694, 805, 709, 406, 3636, 2120, 4801, 4261, 3908, 666, 2017, 3919, 2595, 1356, 38, 1303, 759, 3741, 4805, 1688, 1576, 226, 1932, 1006, 1794, 1966, 3674, 2946, 1306, 2822, 4214, 4708, 1475, 3727, 4175, 831, 2718, 3223, 3666, 3640, 3200, 3692, 2209, 4299, 4528, 5071, 5070]"
1930,"[5, 2040, 416, 95, 48, 313, 4607, 1948, 897, 179, 23, 1466, 1381, 4568, 3300, 2334, 1879, 4608, 5052, 4143]"
3882,"[5, 4388, 431, 58, 2144, 2503, 2119, 686, 3882, 748, 3871, 828, 358, 877, 83, 3809, 844, 2168, 716, 1099, 171, 336, 3908, 1010, 3168, 1957, 1359]"
3815,"[5, 3815, 1325, 3878]"
4101,"[5, 871, 3432]"
1847,"[871, 576, 3112, 406, 1566, 2529, 1847, 1849, 4907]"
1647,"[871, 852, 1202, 344, 3931]"
3432,"[5, 2227, 1622, 617, 2742, 4496, 2187]"
1083,"[4101, 1083, 1470, 1030, 608, 1252, 3878]"
2603,"[4101, 5, 3778, 2227, 665, 4478]"
2227,"[5, 18, 3607, 1202, 1416, 78, 4801, 1622, 1576, 3720, 1838, 2894, 2445, 576, 3858, 83, 3695, 2751, 551, 1709, 3732, 3685, 1386, 2713, 4345, 2720, 4370, 1043, 2733, 4907]"
3720,"[871, 2293, 2387, 578, 2641, 1812, 3171, 3000, 393]"
6,"[1202, 7, 516, 1484, 1966, 102, 439, 752]"
1202,"[2200, 151, 665, 149, 222, 2059, 1104, 2266, 4381, 1171, 76, 322, 2400, 1576, 1346, 324, 4249, 2671, 1487, 885, 674, 1243, 757, 61, 406, 1520, 876, 1202, 250, 2990, 2705, 3942, 1622, 1918, 2191, 422, 3015, 2495, 4282, 2471, 889, 4008, 3715, 1523, 3786, 1325, 4100, 3782, 1987, 4316, 3862, 4705, 4623, 3927]"
2200,"[3000, 516]"
3000,"[3331, 172, 3836, 3675, 1078, 4603, 324, 3832, 604, 4489, 674, 814, 4766, 2806, 3850, 2123, 197, 3789, 1642, 2749, 2297, 36, 3114, 462, 2935, 3933, 1664, 4195, 3666, 1378, 169]"
3331,"[1725, 98, 102, 812, 2535, 1173, 498, 510, 83]"
1725,"[2933, 213, 613, 576, 1794, 176, 3064, 3887]"
2933,"[3432, 3776, 1083, 3473, 3252, 820, 3227, 1325, 4646]"
18,"[40, 344, 624, 20, 1716, 215, 2901, 592, 3678, 335, 1724, 3228, 1198, 793, 23, 2400, 3418, 2882, 4162, 1653, 2999, 3455, 2591, 2167, 226, 1656, 616, 2646, 2123, 2628, 3097, 4151, 2716, 2427, 400, 4738, 3092, 1668, 324, 4542, 4879, 506, 3528, 1925, 4912, 4321]"
40,"[1010, 1325, 133, 2158, 1873, 5065]"
1010,"[226, 1015, 61, 4724, 3706, 962, 1010, 1830, 835, 3055, 2373, 1863, 2169, 1458, 1967, 2660, 4835, 3133, 4886, 866, 968, 3185, 1443, 3908, 2823, 4315, 4012, 4334, 4596, 38, 709, 1160, 4276, 880, 3360, 1208, 1786, 1356, 1358, 1411, 3907, 406, 4206, 4053, 3088, 3436, 2168, 117, 1544, 4603, 2990, 2999, 3118, 4035, 3896, 4118, 3658, 324, 4428, 1773]"
226,"[1015, 1136, 614, 108, 48, 4689, 226, 257, 1255, 4861, 2052, 877, 3760, 3890, 1112, 610, 246, 249, 335, 985, 102, 2335, 1707, 4168, 4121, 2688, 2192, 1405, 5025, 1668, 4963, 759, 324, 909, 744, 1030, 519, 1623, 4966, 986, 443, 2380, 568, 1420, 4147, 2601, 2489, 266, 2150, 175, 269, 855, 410, 1320, 793, 78, 1042, 3391, 983, 2312, 2500, 2408, 1033, 1145, 151, 1068, 61, 76, 1213, 3864, 1301, 176, 1875, 2862, 1358, 558, 2926, 2969, 3667, 3359, 1645, 3683, 325, 227, 2652, 56, 3638, 458, 2238, 82, 3646, 945, 2350, 668, 4652, 1632, 1534, 4854, 1389, 2832, 2137, 3906, 1578, 312, 2913, 4314, 3074, 424, 1313, 203, 4175, 1558, 1506, 474, 3454, 4045, 357, 1053, 4477, 2513, 2047, 3363, 4702, 4267, 3682, 394, 3260, 4561, 3322, 4749, 3598, 3596, 80, 2364, 238, 4850, 515, 4425, 337, 422, 4559, 170, 329, 2850, 2360, 1901, 1205, 3402, 4993, 3007, 3199]"
1015,"[2925, 2699, 1599, 1830, 151, 1015, 324, 4125, 2586, 3139, 249, 2338, 2874, 227, 23, 102, 2107, 69, 2819, 1812, 2147, 1563, 2550, 1539, 4303, 38, 267, 1030, 83, 5022, 2149, 1750, 172, 4836, 4961]"
2925,"[3142, 565, 1027, 1925, 2367, 1765, 4029, 363, 422]"
3142,"[2933, 2531, 31, 4263, 1873, 3764, 1983, 102]"
3776,"[2294, 145, 3848, 3099, 1638, 1027, 442, 324, 3092, 1873]"
2294,"[4365, 2544, 1325, 4460, 4430, 328, 2619, 4670, 3099]"
4365,"[4196, 284, 846, 1737, 254, 249, 3430, 219, 250, 4904]"
4196,"[2227, 510, 249, 2535, 406]"
3607,"[3370, 610, 3364, 175, 406, 604, 1490, 443, 3714, 2527]"
3370,"[3142, 1083, 1586, 1470]"
2531,"[1325, 3811, 405, 1086, 1504, 1520, 2224]"
1325,"[2227, 1325, 4106, 36, 40, 2293, 1386, 3254, 1010, 3524, 4923, 1870, 61, 387, 1526, 396, 4893, 3507, 4402, 4009, 941, 3830, 3150, 62, 3079, 2529, 3468, 4017, 4426, 364, 1621, 128, 28, 249, 257, 1211, 1113, 4428, 328, 2788, 1749, 76, 1052, 4714, 4527, 4821, 5005, 4920, 3528, 1686]"
151,"[1252, 1725, 2249, 1303, 1077, 1035, 745, 152, 2926, 76, 1342, 3428, 1196, 1532, 1104, 1799, 2484, 222, 2368, 1603, 3213, 3099, 4175, 243, 516, 2399, 1002, 4106, 1075, 23, 1689, 443, 1889, 61, 3839, 1714, 312, 1202, 1020, 2862, 556, 1659, 2473, 4286, 400, 4835, 410, 1380, 3624, 1456, 3070, 412, 283, 771, 2927, 4543, 134, 613, 597, 723, 3053, 5075, 762, 3730, 1774, 3172, 1063, 507, 1759, 353, 151, 1925, 1193, 1682, 3695, 1819, 2728, 4146, 1315, 4002, 899, 889, 1528, 210, 1464, 4504, 2729, 20, 2685, 2084, 131, 2531, 3521, 1191, 3812, 1677, 714, 3466, 175, 2493, 3102, 2457, 4401, 845, 463, 3132, 18, 3981, 4316, 2289, 4351, 1364, 1614, 2645, 4561, 324, 1010, 5005, 5051, 3330, 1112, 1520, 3326, 1578, 3189, 4848, 1416, 226, 1704, 4949, 3148, 2690]"
1252,"[151, 1930, 2566, 188, 1586, 1775, 1588, 3768, 190, 1773, 1104, 2531, 83, 578, 2623, 3551, 4076, 4137, 1010, 1325, 61, 1730, 4603, 2489, 897]"
213,"[1325, 242, 954, 1249, 185, 1842, 1236, 350, 2133, 40, 2140, 140, 867, 1775, 169, 4772, 2565, 104, 3261, 519, 598, 172, 1780, 807, 1074, 2589, 3002, 2388, 2901, 4220, 4127, 1576, 61, 3280, 4993, 213, 226, 3652, 324, 365, 378, 992]"
4106,"[1709, 90, 2652, 3593, 4973, 2955, 1213, 1761]"
1709,"[1325, 3370, 516, 1877, 3203, 3171, 4206, 3878, 4421]"
36,"[357, 3966, 1143, 159, 48, 1346, 254, 1754, 1015, 835, 1712, 592, 246, 2010, 337, 324, 443, 2462, 2848, 1638, 1296, 1484, 2272, 885, 257, 349, 696, 3568, 2851, 3021, 1631, 851, 875, 3349, 1493, 4098, 1381, 406, 3212, 2834, 149, 2453, 2224, 1018, 4731, 2812, 3897, 1567, 1866, 4291, 945, 3637, 378, 4248, 1917, 2149, 506, 3053, 3812, 2471, 4067, 2090, 1105, 3235, 3324, 3024, 2671, 3222, 1925, 3848, 3083, 3977, 3429, 416, 4073, 4873, 4794, 5043, 3451]"
357,"[1325, 1758, 2828, 2860, 59, 109, 38, 151, 2764, 102, 659, 614, 701, 249, 1323, 745, 4676, 1786, 1362, 3511, 3858, 1790, 2565, 3223, 357, 335, 3803, 648, 3217, 2874, 406, 61, 1802, 1718, 697, 2757, 1719, 1490, 762, 3766, 1603, 842, 1688, 3656, 2321, 4260, 2833, 3080, 2049, 76, 1789, 3621, 1300, 2968, 2129, 1609, 3493, 1532, 2097, 31, 1566, 2241, 3442, 4899, 4242, 1712, 227, 324, 2594, 4355, 3276, 3012, 3324, 4927, 4477, 3393, 83, 991, 4428, 1468, 1930, 674, 4945, 2278, 337, 1904, 4557, 3233, 3063, 2706, 2187, 1678, 2340, 3007, 4060]"
2293,"[5078, 2047, 1195, 70, 832, 951, 4809, 617, 76, 1936, 3084, 352, 2725, 129, 1042, 3167, 2009, 668, 226, 56, 429, 4211, 1392, 2293, 1638, 3794, 3592, 1540, 3218, 3718, 337, 4654, 3423, 4103, 4659, 1605, 1925, 3336, 324, 3377, 4561, 1670, 151, 363, 4853, 607, 4821, 5043, 4863, 3759, 4559, 739, 5061]"
5078,"[1386, 4168, 3533, 1576, 5079, 1106, 3231, 38, 2649, 5078, 761, 78]"
1468,"[3815, 1575, 1468, 4435, 4010]"
3254,"[1325, 3966, 3470, 129, 2473, 2702, 4099, 2865, 604, 61, 3990, 364, 3446, 226, 427, 3080, 2274, 4673, 3218, 3114, 3596, 2166, 4732]"
2699,"[4306, 2094, 405, 2007, 1778]"
4306,"[1325, 517, 4663, 4306, 4403, 1959, 249, 1052]"
3524,"[3524, 1325, 1812, 1475, 3144, 1148, 2044, 2324, 492, 645, 1713, 3537, 2480, 1701, 2544, 406, 3019, 656, 2700, 3692, 1642, 777, 1195, 1848, 1188, 3760]"
10,"[21, 2231, 377, 2975, 618, 853]"
21,"[41, 618, 1524, 377, 10, 2631, 1220, 1825, 83, 2053, 2643, 999, 1075]"
41,"[68, 1218]"
68,"[180, 41, 853]"
180,"[377, 68, 3318]"
377,"[185, 180, 2231, 853, 1802, 1651, 956, 2241, 2513, 1937, 4200, 1417, 267, 3468, 1997, 3783, 1759, 3354, 2614, 2242, 2230]"
185,"[21, 908, 10, 377, 213, 2140, 630, 185, 2490, 3119, 731, 1325, 83, 61]"
618,"[619, 2365, 627, 621, 622]"
619,[621]
621,"[622, 174, 21, 627, 2365, 618]"
622,"[627, 21, 2800, 10, 853, 621]"
627,"[853, 622]"
853,"[185, 622, 853, 21, 10, 2631]"
908,"[377, 1930, 3686, 357, 3879, 5079, 3619, 2816, 1104, 1993, 1877, 3511, 3656, 80, 5050, 4622, 3787, 1659, 245, 3760, 1027, 2184, 2457, 3032]"
1218,[68]
1524,"[621, 2800]"
174,"[1879, 722, 868, 2746, 42]"
1879,"[1864, 4295, 3040, 1498, 4548, 1475, 1303, 48]"
1864,"[853, 1933, 628, 745, 1954, 47, 2253, 1919, 263, 1074, 1864, 2153, 610, 1083, 528, 1969, 2066, 510, 2348, 1363, 2052, 302, 2726, 3373, 1174, 964, 1126, 986, 2015, 812, 1095, 445, 2552, 461, 735, 736, 612, 737, 1951, 751, 770, 875, 2474, 1208, 1445, 1906, 1866, 2171, 2570, 1446, 1872, 2349, 2032, 2402, 2108]"
2231,"[21, 618]"
2365,"[619, 621, 627, 10, 21, 1161]"
2800,"[21, 2365, 3331]"
2975,"[1524, 159, 140, 1697, 1492, 639, 437, 2989, 151, 2415, 595, 723, 751, 4663, 2637, 1887, 1900, 1508, 2685, 3253]"
2631,"[2365, 185, 2993, 3154]"
11,"[26, 264, 4260, 1737, 4]"
26,"[20, 1576, 674, 3208, 2059, 23, 3120, 151, 3276, 1762, 4757, 328, 285, 3962, 3470, 624, 3939, 689, 2167, 378, 3437, 1789, 176, 1276, 144, 4110, 61, 1667, 2716, 4242, 2480, 2522, 1361, 2761, 1614, 3964, 2950, 1758, 1820, 2566, 78, 4127, 2927, 2945, 3066]"
20,"[1758, 624, 580, 1770, 20, 2519, 1533, 3012, 324, 2556, 2304, 3120, 2477, 1716, 1521, 4269, 923, 3774, 3189, 262, 836, 1638, 1531, 2386, 2824, 2272, 3272, 3133, 1799, 61, 4193, 78, 3200, 3141, 761, 2001, 3599, 23, 3780, 1311, 4757, 250, 151, 2513, 1798, 2749, 4465, 1753, 2510, 2570, 3241, 4074, 1528, 4537, 516, 2840, 128, 1080, 1777, 3543, 76, 1173, 1662, 3321, 1381, 4274, 2933, 3007, 3001, 2451, 4486]"
1758,"[2453, 3111, 2585, 1716, 797, 915, 2016, 328, 2876, 4318, 2653, 2083, 2522, 3353, 4160, 2976, 325, 2476, 2020]"
2453,"[3533, 406, 1570, 61, 539, 793, 149, 2143, 1018]"
3533,"[488, 20, 835, 2795, 2551, 2903, 1777, 3131]"
488,"[1173, 464, 2480, 1068, 1864, 1255, 1015, 708, 4961, 3184]"
1173,"[3748, 1770, 250, 1998, 275, 4120, 3043, 530, 771, 2451, 2879, 1173, 3791, 344, 842, 798, 3264, 2325, 3686, 4967, 956, 1297, 3143, 20, 1736, 3312, 2522, 4673, 1988, 887, 4676, 3760, 4092, 1044, 4185, 3295, 3887, 337, 324, 3646, 3881, 1429, 83, 475]"
3748,"[4242, 3748, 117, 354, 1214, 406, 3074, 1043, 1614, 4189, 102, 1713, 1567]"
4242,"[3139, 1925, 95, 798, 414, 3924, 1872, 2674, 557, 3393, 190, 3905, 1876, 4588, 3681, 1276, 23, 61, 711, 4276, 256, 4523, 2152, 3678, 3029, 4082, 4242, 2883, 3734, 3312, 2865, 488, 880, 3035]"
3139,"[23, 2453, 284, 1104, 3012, 2756, 2437, 1276, 2495, 2898, 2289, 2339, 3730, 3954, 442]"
23,"[1374, 3727, 4242, 3212, 26, 4700, 2249, 3083, 337, 222, 2059, 2298, 151, 23, 2764, 999, 43, 883, 1428, 3615, 249, 1889, 1032, 254, 84, 1085, 676, 3462, 2075, 2080, 793, 690, 1370, 3324, 611, 4399, 18, 3832, 1075, 3328, 3343, 781, 1989, 887, 3329, 1077, 777, 723, 417, 3035, 4237, 1907, 5075, 1202, 4793, 2060, 889, 1224, 1930, 95, 1046, 4443, 2544, 3130, 1276, 2199, 20, 2110, 2690, 226, 3844, 4077, 1939, 4382, 791, 2909, 138, 2003, 1659, 354, 82, 498, 1966, 102, 406, 1614, 2916, 2516, 2628, 325, 665, 4659, 1903, 443, 3240, 1170, 3312, 76]"
1374,"[2230, 26, 3319, 1614, 312, 3360, 151, 2049]"
2230,"[4191, 1361, 1018, 2447, 1743, 1557, 3980, 1750]"
4191,"[4330, 1154, 354, 1734, 1458, 1659, 2595, 2702, 3517, 1967]"
4330,[2676]
2676,"[1950, 1458, 4422, 1724, 1787, 3973, 1621, 1735, 1872, 870, 1075, 1490, 917, 950, 357, 559, 1315]"
1950,"[1737, 615, 82, 335, 1096, 824, 1409, 3298, 1543, 4893, 1950, 1653, 1040, 406, 771, 934, 1093, 1162, 1172, 439, 3909, 151, 1555, 3938, 2677, 50, 2662, 3204, 4141, 3256, 3429, 3767, 3303, 3454, 3967, 3495, 745, 644, 1680, 4644]"
1737,"[4700, 3887, 3291, 4123, 292, 4116, 2169, 3232, 1891, 955, 4515, 249, 3564, 1737, 4353, 4365, 2006, 827, 791, 3694, 1951, 3780, 334, 3939, 3992, 3909, 2172, 2032, 2012, 4176, 82, 950, 1682, 2862, 3320, 5079, 1506, 1036, 3115, 1873, 4211]"
4700,"[3702, 877, 2277, 4572, 3318, 414, 4511, 3397, 674, 4700, 336, 1189, 1618, 2495, 2488, 3850, 2440, 3523, 3043, 1130, 1659, 1824, 2166]"
3702,"[1729, 1386, 82, 825, 2769, 4805, 667, 3702, 4299, 61]"
1729,"[1656, 2210, 3694, 4539, 3860, 798, 175, 226, 2473, 1147, 1458, 4488, 1729, 926, 2409, 579, 2113, 3679, 2967, 757, 2885, 1731, 3069, 3151, 4433, 1749, 3123, 1075, 417, 559, 1711, 2739, 2470, 2595, 4183, 4114, 3189, 2873, 3774, 2865, 3130, 429, 899]"
1656,"[3012, 1570, 2873, 1729, 1191, 1656, 2110, 1018, 406, 2038, 410, 1617, 3232, 3000]"
3012,"[2038, 1770, 667, 3013, 839, 1323, 4402, 4231, 2827, 5079, 3012, 190, 1096, 3601, 456, 4242, 245, 324, 2355, 1767, 378, 3714, 745, 3217, 3759]"
2038,"[1488, 43, 5079, 324, 3820, 3640, 1276, 441, 288, 3437, 128, 210, 4316]"
1488,"[1786, 1488, 1812, 1133, 966, 3624, 489, 2564, 249, 3578, 2481, 2298, 3906, 2249, 3284]"
1786,"[1940, 356, 4097, 224, 2226, 1736, 175, 414, 882, 2408, 889, 1520, 226, 61, 2076, 1663, 1982, 1, 3119, 1458, 4242, 1880, 1635, 406, 441, 3150, 443]"
1940,"[1520, 1952, 2788, 3972, 4320]"
1520,"[269, 1112, 151, 2824, 595, 352, 739, 3771, 1119, 1819, 3595, 4258, 2953, 4527]"
269,"[2659, 1232, 151, 2516, 855, 1567, 1576, 2876, 2937, 2954, 1112, 745, 3035, 1614]"
2659,"[1752, 1707, 406, 4893, 823, 2305, 2057, 4725, 1753, 1466, 1576, 3193, 429, 2764, 3507, 3487]"
1752,"[2525, 2044, 470, 1914, 4182, 4511, 1180, 1431, 999, 1204]"
2525,"[3243, 4388, 3748, 4512, 4100, 2884, 149, 2882, 2883, 1165, 1173, 530, 288, 1012, 4090, 4017]"
3243,"[4893, 18, 385, 4086, 2761]"
4893,"[3079, 495, 162, 971, 215, 116, 185, 4584, 574, 4611, 5048, 20, 3948, 389, 1620, 516, 2252, 3122, 3317, 1129, 3986, 385, 3945, 4304, 5053, 3295, 1651, 2788, 2512, 865, 2591, 934, 961, 179, 95, 2743, 2057, 1193, 3885, 4893, 2694, 759, 4002, 4314, 2417, 3819, 2687, 4973, 1576, 3321, 2097, 2927, 2522, 2224, 945, 4458, 266, 2109, 2626, 3231, 3643, 4032, 2954, 2267, 4946, 4879, 3512, 4220, 4625, 4244, 4570, 61, 2304, 176, 4790, 4579, 1700, 4421, 3145, 4098, 4898, 93, 4935, 3066, 1183, 5029, 4634]"
3079,"[1445, 3228, 1188, 617, 2495, 318, 1452, 3832, 3065, 3760, 2084, 324, 1018, 1670, 375, 1213]"
1445,"[1659, 2598, 102, 2017, 1323, 3520, 1881, 3461, 574, 4759, 23, 2618, 2881, 28, 2691, 2861, 188, 428, 2617, 1018, 249]"
1659,"[4225, 2652, 2686, 923, 839, 1750, 222, 3139, 284, 3820, 574, 61, 2386, 3473, 2469, 3611, 2427, 2824, 151, 1278, 2707, 254, 400, 84, 412, 530, 1426, 2001, 1749, 3745, 3001, 3455, 93, 3531, 739, 1662, 2883, 2478, 82, 2590, 2653, 2334, 1108, 3291, 1659, 3349, 1475, 3322, 761, 1913, 2076, 406, 3297, 1765, 1928, 1462, 2728, 2823, 666, 4242, 1202, 1644, 1458, 777, 1707, 321, 2844, 267, 3283, 3468, 1595, 441, 3992, 2361, 102, 3691, 1920, 4282, 2679, 2139, 1899, 1306, 611, 3359, 1807, 3039, 3447, 2605, 3354, 817, 2524, 2513, 1378, 2275, 2646, 3844, 4589, 1484, 994, 3604, 2195, 1632, 4646, 3074, 4714, 416, 4836, 4425, 344, 2976]"
4225,"[3121, 824, 406, 3353, 2657]"
3121,"[1791, 1687, 2707, 2141, 61, 288, 3810, 812, 3722, 76]"
1791,"[2876, 2935, 3189, 3305, 182, 423, 1439, 249, 709, 1536, 1839, 3312, 1686, 1791, 2076, 2195, 2714, 442, 1773, 889, 3933, 507, 1820, 3122, 2898, 4782, 2016, 1611]"
2876,"[381, 4795, 429, 360, 3512, 1614, 783, 1881, 2321, 2380, 1925, 1339, 69, 4373, 406, 249, 2876, 1859, 1932, 4420, 3992, 4479, 1446, 2032, 2541, 2043, 1024, 2944, 4345, 3863, 3463, 328, 2632, 1761, 3144, 4903, 2023]"
381,"[3246, 632, 688, 910, 3519, 5002, 506, 4910, 2848, 1638, 4076, 354, 3123, 324, 381, 4522, 2537, 85]"
3246,"[4611, 4926, 1979, 839, 2915, 3246, 664, 4368, 3080, 3330, 1147, 3013, 3296, 507, 4057, 2113, 406, 1761, 1977, 2695, 288, 4815, 1582, 3377, 20, 1165, 1914, 2913, 1123]"
4611,"[2739, 254, 1429, 2437, 3797, 1925, 1786, 1599]"
2739,"[1720, 102, 370, 891, 1729, 1321, 142, 2583, 2537, 1306, 2045, 2164, 430, 3140, 1]"
1720,"[2862, 162, 2195, 761, 3777, 3103, 442, 1613, 2869]"
2862,"[3524, 745, 2047, 3036, 2493, 2075, 2290, 3056, 1205, 3100, 464, 4202, 2683, 1791, 175, 516, 3830, 3533, 2862, 2959, 324, 2954, 3040, 2626, 4034, 1607, 2646]"
1812,"[3590, 2936, 1817, 1750, 2458, 56, 3276, 4893, 1864, 26, 257, 2420, 2951, 3858, 3617, 38, 2851, 2041, 717, 1931, 617, 197, 1504, 176, 4890, 1560, 3796, 1614, 1188]"
3590,"[1761, 20, 483, 177, 2865, 1750, 1278, 5075, 3664, 696, 761, 1799, 2763, 3136, 3511, 771, 2357, 1574, 1806, 3551, 2999, 324, 1202, 3842]"
1761,"[2918, 2564, 132, 193, 835, 4114, 1268, 950, 2698, 2480, 1175, 1678, 4557, 4567, 2330, 2339, 3214, 1075, 2932, 4426, 245, 3098, 3537, 4174, 4883, 88, 4955, 1926, 2968, 2044]"
2918,"[3877, 1809, 4290, 4873, 4162]"
3877,"[344, 3099, 93, 414, 1555, 3284, 2018, 61]"
344,"[3286, 624, 1716, 1757, 20, 3181, 536, 412, 3246, 1051, 3964, 241, 2076, 406, 2408, 1786, 1151, 2451, 1557, 4432, 1745, 1621, 4474, 3322, 1570, 1178]"
3286,"[4269, 494, 375, 2224, 2481, 1898, 443, 134, 2920, 3845, 559]"
4269,"[3266, 20, 1571, 2010, 4077, 2939, 371, 378, 1198, 1018, 4537, 4269, 1528, 253, 3343, 370, 2405, 197]"
3266,"[2739, 941, 23, 2708, 1156, 2701, 4776]"
102,"[3144, 46, 1445, 2394, 1505, 2365, 324, 720, 2058, 102, 3550, 724, 110, 2302, 3917, 23, 2491, 3469, 498, 3800, 3483, 3240, 162, 2380, 674, 1659, 1104, 839, 4266, 2688, 4073, 4175, 1092, 1491, 3008, 1171, 1002, 1015, 443, 255, 3088, 4349, 843, 4499, 2823, 3959, 1284, 3854, 2432, 3939, 503, 3568, 4059, 2749, 969, 1707, 1211, 2035, 664, 226, 3277, 1576, 1219, 4116, 1785, 654, 1278, 2478, 3894, 993, 3180, 2940, 276, 504, 1731, 357, 3978, 806, 519, 61, 2269, 1592, 568, 650, 2618, 3539, 870, 1876, 3014, 688, 1802, 3759, 3965, 1863, 3015, 406, 499, 2683, 2195, 761, 1268, 1976, 1599, 1127, 898, 2801, 796, 3705, 1130, 2120, 1004, 3283, 849, 2876, 2437, 2286, 3823, 933, 337, 3172, 4115, 1018, 1033, 1771, 144, 5078, 4420, 2875, 2895, 2187, 3437, 1663, 1180, 2527, 2440, 1315, 4765, 1864, 2626, 3446, 1644, 2213, 2403, 2595, 1930, 2003, 2661, 1837, 4520, 4893, 2935, 2078, 2791, 2024, 2308, 3255, 379, 4759, 868, 1389, 2032, 3182, 2946, 4604, 1541, 2958, 249, 2091, 2443, 2864, 4279, 2712, 352, 1778, 3733, 3871, 2006, 1165, 269, 285, 1746, 4609, 4817, 1135, 3164, 4432, 410, 4070, 227, 1579, 1972, 2188, 510, 4659, 1781, 188, 2111, 2083, 5007, 4310, 2815, 3606, 3981, 4267, 82, 3821, 4435, 2566, 4859, 1818, 826, 4956, 3527, 1431, 4931, 3675, 4686, 2282, 1391, 5043, 93, 1918, 3148, 1485, 375, 2244, 1220, 3380, 3106, 3734]"
3144,"[3243, 1195, 1750, 3977, 1629, 1488, 3773, 3359, 4844, 2547, 102, 4929, 4489, 674]"
13,"[46, 102, 2392, 981, 93]"
46,"[356, 981, 2392, 13, 3945, 406]"
356,"[981, 354, 1977, 3260, 3291, 1762, 336, 3534, 1173, 1951]"
981,"[13, 981, 3945, 2392, 1688, 292, 4805, 2138, 1213]"
2392,"[2392, 46, 102, 13, 69, 3945]"
3945,"[2392, 981, 3945, 4054, 3529, 2788, 2536, 1754, 1024, 3311, 4681, 1638, 1798]"
